YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	285	11	56	25	609	596756.39444	10645709.91135
2020	285	11	56	27	610	596760.45620	10645712.67202
2020	285	11	56	29	612	596764.54357	10645715.40948
2020	285	11	56	31	613	596768.58042	10645718.14008
2020	285	11	56	33	615	596772.65616	10645720.84654
2020	285	11	56	35	617	596776.75216	10645723.58793
2020	285	11	56	37	618	596780.80430	10645726.37444
2020	285	11	56	39	620	596784.88238	10645729.10363
2020	285	11	56	41	621	596788.92728	10645731.88156
2020	285	11	56	43	623	596793.06652	10645734.61278
2020	285	11	56	45	624	596797.13865	10645737.40966
2020	285	11	56	47	626	596801.23316	10645740.16983
2020	285	11	56	49	628	596805.34148	10645742.91150
2020	285	11	56	51	629	596809.46719	10645745.66629
2020	285	11	56	53	631	596813.59504	10645748.40599
2020	285	11	56	55	632	596817.71108	10645751.15874
2020	285	11	56	57	634	596821.84479	10645753.90332
2020	285	11	56	59	636	596825.97268	10645756.65922
2020	285	11	57	1	637	596830.11319	10645759.41382
2020	285	11	57	3	639	596834.23422	10645762.19560
2020	285	11	57	5	640	596838.36807	10645764.99165
2020	285	11	57	7	642	596842.53546	10645767.76283
2020	285	11	57	9	643	596846.69691	10645770.54757
2020	285	11	57	11	645	596850.86041	10645773.33168
2020	285	11	57	13	647	596855.03176	10645776.12526
2020	285	11	57	15	648	596859.23036	10645778.90914
2020	285	11	57	17	650	596863.41143	10645781.68615
2020	285	11	57	19	652	596867.57624	10645784.47000
2020	285	11	57	21	653	596871.75627	10645787.25903
2020	285	11	57	23	655	596875.93097	10645790.03960
2020	285	11	57	25	656	596880.09927	10645792.82893
2020	285	11	57	27	658	596884.24244	10645795.61533
2020	285	11	57	29	660	596888.40505	10645798.42185
2020	285	11	57	31	661	596892.54291	10645801.24704
2020	285	11	57	33	663	596896.67642	10645804.06427
2020	285	11	57	35	664	596900.82622	10645806.86119
2020	285	11	57	37	666	596904.96699	10645809.68439
2020	285	11	57	39	668	596909.13245	10645812.46825
2020	285	11	57	41	669	596913.27628	10645815.24597
2020	285	11	57	43	671	596917.47272	10645817.98162
2020	285	11	57	45	672	596921.67029	10645820.71583
2020	285	11	57	47	674	596925.85043	10645823.45722
2020	285	11	57	49	676	596930.02860	10645826.20041
2020	285	11	57	51	677	596934.24286	10645828.90521
2020	285	11	57	53	679	596938.44139	10645831.65429
2020	285	11	57	55	680	596942.61738	10645834.40146
2020	285	11	57	57	682	596946.80669	10645837.16097
2020	285	11	57	59	684	596951.01856	10645839.89539
2020	285	11	58	1	685	596955.21844	10645842.66643
2020	285	11	58	3	687	596959.41126	10645845.45333
2020	285	11	58	5	688	596963.61243	10645848.21806
2020	285	11	58	7	690	596967.84184	10645850.98694
2020	285	11	58	9	692	596972.05986	10645853.76901
2020	285	11	58	11	693	596976.26938	10645856.56542
2020	285	11	58	13	695	596980.47193	10645859.33657
2020	285	11	58	15	696	596984.67895	10645862.10991
2020	285	11	58	17	698	596988.86912	10645864.92721
2020	285	11	58	19	700	596993.03209	10645867.75509
2020	285	11	58	21	701	596997.18175	10645870.57827
2020	285	11	58	23	703	597001.30558	10645873.42615
2020	285	11	58	25	705	597005.44455	10645876.29440
2020	285	11	58	27	706	597009.56570	10645879.16898
2020	285	11	58	29	708	597013.68099	10645882.05015
2020	285	11	58	31	709	597017.81915	10645884.90501
2020	285	11	58	33	711	597021.97679	10645887.76802
2020	285	11	58	35	713	597026.11719	10645890.63084
2020	285	11	58	37	714	597030.27581	10645893.49152
2020	285	11	58	39	716	597034.46467	10645896.33332
2020	285	11	58	41	717	597038.64619	10645899.17585
2020	285	11	58	43	719	597042.82205	10645901.99954
2020	285	11	58	45	721	597046.97742	10645904.82666
2020	285	11	58	47	722	597051.19338	10645907.63842
2020	285	11	58	49	724	597055.37068	10645910.46048
2020	285	11	58	51	726	597059.51926	10645913.27515
2020	285	11	58	53	727	597063.63181	10645916.08856
2020	285	11	58	55	729	597067.77299	10645918.93441
2020	285	11	58	57	730	597071.91942	10645921.78051
2020	285	11	58	59	732	597076.03951	10645924.62105
2020	285	11	59	1	734	597080.15187	10645927.45377
2020	285	11	59	3	735	597084.28845	10645930.28393
2020	285	11	59	5	737	597088.47042	10645933.13026
2020	285	11	59	7	738	597092.65586	10645935.95272
2020	285	11	59	9	740	597096.83083	10645938.75819
2020	285	11	59	11	742	597100.99702	10645941.55376
2020	285	11	59	13	743	597105.21865	10645944.36296
2020	285	11	59	15	745	597109.43633	10645947.19612
2020	285	11	59	17	746	597113.64794	10645949.97824
2020	285	11	59	19	748	597117.81195	10645952.77558
2020	285	11	59	21	750	597121.99035	10645955.60907
2020	285	11	59	23	751	597126.19032	10645958.45864
